Date,Country,City,Specie,count,min,max,median,variance
02-02-2019,IN,Kolkata,dew,84,10,12,12,3.68
28-02-2019,IN,Kolkata,dew,86,17,21.5,18.5,15.81
04-03-2019,IN,Kolkata,dew,94,17.5,24,21,33.81
25-03-2019,IN,Kolkata,dew,73,12,21,17,63.91
04-01-2019,IN,Kolkata,dew,90,7.5,11.5,9.5,14.75
24-01-2019,IN,Kolkata,dew,82,13,16,14.5,7.53
25-01-2019,IN,Kolkata,dew,92,13,15,14,3.44
07-01-2019,IN,Kolkata,dew,92,10,13,11,10.22
24-02-2019,IN,Kolkata,dew,92,11,20,15,67.76
07-03-2019,IN,Kolkata,dew,86,13,20,15,58.73
18-03-2019,IN,Kolkata,dew,84,18,21,19,6.78
17-01-2019,IN,Kolkata,dew,94,7,11,9,15.09
21-01-2019,IN,Kolkata,dew,86,11,13,12,2.67
13-02-2019,IN,Kolkata,dew,96,9,13.5,11,12.98
21-02-2019,IN,Kolkata,dew,92,14,17,15.5,7.89
25-02-2019,IN,Kolkata,dew,94,15,20,17,24.22
06-03-2019,IN,Kolkata,dew,96,18,21.5,20,6.4
01-01-2019,IN,Kolkata,dew,92,8,11,10,8.56
22-01-2019,IN,Kolkata,dew,84,11,14,13,7.69
17-02-2019,IN,Kolkata,dew,86,14,17,15,12.3
07-02-2019,IN,Kolkata,dew,94,12,17,14.5,22.55
08-02-2019,IN,Kolkata,dew,90,15,17.5,16.5,5.73
16-02-2019,IN,Kolkata,dew,86,14,16.5,15.5,4.25
15-03-2019,IN,Kolkata,dew,96,18,24,21,17.29
16-03-2019,IN,Kolkata,dew,96,17,20.5,19,7.94
02-01-2019,IN,Kolkata,dew,90,10,12.5,11,5.89
08-01-2019,IN,Kolkata,dew,78,11,13,12,3.66
12-01-2019,IN,Kolkata,dew,90,10,13,11.5,8.76
20-03-2019,IN,Kolkata,dew,94,21,25,23,12.14
21-03-2019,IN,Kolkata,dew,74,21,23.5,22,7.06
03-02-2019,IN,Kolkata,dew,90,8,13.5,11,25.97
20-02-2019,IN,Kolkata,dew,84,14,21.5,16,60.22
02-03-2019,IN,Kolkata,dew,94,9,14.5,12,20
06-01-2019,IN,Kolkata,dew,86,10,12,10.5,3.87
09-02-2019,IN,Kolkata,dew,84,15,18,17,11.32
01-03-2019,IN,Kolkata,dew,86,12,16,13,23.9
05-02-2019,IN,Kolkata,dew,86,10,11.5,11,3.05
14-02-2019,IN,Kolkata,dew,92,11,14,13,9
18-02-2019,IN,Kolkata,dew,90,11,14,12,8.23
12-03-2019,IN,Kolkata,dew,94,18.6,24.5,23,29.69
24-03-2019,IN,Kolkata,dew,70,7,18,12.5,154.67
15-01-2019,IN,Kolkata,dew,84,8,14,10,30.6
27-01-2019,IN,Kolkata,dew,72,13.5,16,15,6.21
31-01-2019,IN,Kolkata,dew,74,8,12,11,23.49
28-03-2019,IN,Kolkata,dew,92,20,24,23,17.64
22-03-2019,IN,Kolkata,dew,87,21,25.5,24,25.35
27-03-2019,IN,Kolkata,dew,84,16,21,18,27.69
13-01-2019,IN,Kolkata,dew,94,10.5,13,11.5,5.08
06-02-2019,IN,Kolkata,dew,94,10,13,11.5,6.85
13-03-2019,IN,Kolkata,dew,86,21,26,24,17.29
17-03-2019,IN,Kolkata,dew,84,18.5,23.5,21.5,22.63
16-01-2019,IN,Kolkata,dew,92,6,9,7,9.96
01-02-2019,IN,Kolkata,dew,90,10,13,11.5,5.61
22-02-2019,IN,Kolkata,dew,94,18,22,20,9.08
14-03-2019,IN,Kolkata,dew,86,17,25,21,82.48
26-03-2019,IN,Kolkata,dew,94,14,22.5,21.5,101.19
11-02-2019,IN,Kolkata,dew,88,9,12,10,8.95
12-02-2019,IN,Kolkata,dew,90,7,13,10,30.21
23-02-2019,IN,Kolkata,dew,88,17.5,21,20,10.22
05-03-2019,IN,Kolkata,dew,86,19.5,23,21,11.12
11-03-2019,IN,Kolkata,dew,70,23,24,23.5,2.24
19-03-2019,IN,Kolkata,dew,96,19.5,22,20.5,6.16
31-03-2019,IN,Kolkata,dew,70,25.5,27,26,2.36
09-01-2019,IN,Kolkata,dew,86,10,13,11.5,5.4
19-02-2019,IN,Kolkata,dew,92,13.5,18,15.5,25.7
26-02-2019,IN,Kolkata,dew,78,18,20,19,5.08
14-01-2019,IN,Kolkata,dew,82,12,14,13,4.33
23-01-2019,IN,Kolkata,dew,92,11.5,14.5,13,6.7
28-01-2019,IN,Kolkata,dew,90,14,16,15,4.3
03-03-2019,IN,Kolkata,dew,96,11,17,14,34.04
23-03-2019,IN,Kolkata,dew,67,12,22,17,120.55
31-12-2018,IN,Kolkata,dew,84,8,11,10,11.9
03-01-2019,IN,Kolkata,dew,96,8,11.5,10.5,11.35
05-01-2019,IN,Kolkata,dew,84,8.5,12,10,10.48
27-02-2019,IN,Kolkata,dew,82,16,22,18,26.96
30-03-2019,IN,Kolkata,dew,90,23,26,24.5,7.71
20-01-2019,IN,Kolkata,dew,94,10,13,11.5,9.95
10-02-2019,IN,Kolkata,dew,76,9,15.5,11.5,67.35
15-02-2019,IN,Kolkata,dew,88,13.5,16.5,15,7.11
10-03-2019,IN,Kolkata,dew,88,16.5,24,23,47.75
26-01-2019,IN,Kolkata,dew,92,14,16,15,3.65
08-03-2019,IN,Kolkata,dew,96,10.5,16.5,14,32.19
09-03-2019,IN,Kolkata,dew,86,10,17,14.5,65.1
19-01-2019,IN,Kolkata,dew,88,8,13.5,10,17.24
29-01-2019,IN,Kolkata,dew,96,7,15.5,9,60.73
30-01-2019,IN,Kolkata,dew,88,4,9,7,16.18
04-02-2019,IN,Kolkata,dew,78,8.5,12,11,12.25
29-03-2019,IN,Kolkata,dew,90,22,26,24,13.78
10-01-2019,IN,Kolkata,dew,94,10,13,11,4.93
11-01-2019,IN,Kolkata,dew,92,8,12,10,10.09
18-01-2019,IN,Kolkata,dew,90,10.5,13,11.5,4.21
